"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"glycereth-3","87515","-","-",,
"glycereth-31","76279","31694-55-0",,,
"glycereth-3 caprylate/caprate","94655",,,,
"glycereth-3 soyate","94651",,,,
"glycereth-3 sunflowerate","94652",,,,
"glycereth-5 cocoate","56233",,,,
"glycereth-6 c10-18 acidate","56234",,,,
"glycereth-6 laurate","76281","186537-61-1",,,
"glycereth-6 tricocoate","82603","-","-",,
"glycereth-6 triisostearate","82727","-","-",,
"glycereth-6 trioleate","82450","-","-",,
"glycereth-7/ipdi copolymer","76287","51606-33-8",,,
"glycereth-7 benzoate","76283","139247-28-2","-",,
"glycereth-7 caprylate/caprate","85376","-","-",,
"glycereth-7 cocoate","89074",,,,
"glycereth-7 diisononanoate","76284","125804-15-1","-",,
"glycereth-7 glycolate","56235",,,,
"glycereth-7 hydroxystearate/ipdi copolymer","76285","162730-24-7",,,
"glycereth-7 lactate","56236","-","-",,
"glycereth-7 triacetate ","76286","57569-76-3","-",,
"glycereth-8","84046","31694-55-0 (generic)","-",,
"glycereth-8 hydroxystearate","76288",,,,
"glycerin/dimer dilinoleate copolymer","93327",,,,
"glycerin/isophthalic acid copolymer castorate","56238",,,,
"glycerin/oxybutylene copolymer stearyl ether","76290",,,,
"glycerin/phthalic acid copolymer","56240",,,,
"glycerin/phthalic acid copolymer castorate","56195",,,,
"glycerin/phthalic acid copolymer hydroxypropyl c9-11 isoalkyl acidate","56196",,,,
"glycerin/succinic acid copolymer castorate","56197",,,,
"glycerin dimethyl ether","89053","623-69-8",,,
"glycerin methyl ether","89052","623-39-2",,,
"glycerol formal","56198","4740-78-7","225-248-9",,
"glycerophosphoinositol arginine","94220",,,,
"glycerophosphoinositol choline","83176","425642-32-6","447-400-5",,
"glyceryl/erythorbyl laurates","95773",,,,
"glyceryl abietate","34042","1337-89-9","-",,
"glyceryl abietate/maleate","56201",,,,
"glyceryl acetate","56202","26446-35-5","247-704-6",,
"glyceryl adipate","34043","26699-71-8","247-911-1",,
"glyceryl alginate","76193",,,,
"glyceryl allyl ether","56204",,,,
"glycerylamidoethyl methacrylate/stearyl methacrylate copolymer","83552","-","-",,
"glyceryl arachidate","76194","30208-87-8 / 50906-68-8",,,
"glyceryl ascorbate","87076","-","-",,
"glyceryl betaine/polyacrylic acid esters","86151","-","-",,
"glyceryl capryl ether","86329","-","-",,
"glyceryl chromonyl ether","56206",,,,
"glyceryl citrate crosspolymer","56207",,,,
"glyceryl cocoyl leucinate","92295","1574548-13-2",,,
"glyceryl collagenate","76202",,,,
"glyceryl diarachidate","76203","89648-24-8 / 127039-55-8",,,
"glyceryl dibehenate/hydrogenated rosinate","56209",,,,
"glyceryl dierucate","34056","28880-79-7","249-285-5",,
"glyceryl diethylsiloxanes","87310","-","-",,
"glyceryl diferulate","83905","-","-",,
"glyceryl di-hydroxystearate","92502","122546-20-7",,,
"glyceryl diisopalmitate","34058",,,,
"glyceryl dilinoleate","34061","30606-27-0","250-259-0",,
"glyceryl dimaltodextrin","56211",,,,
"glyceryl dimethacrylate","87039","1830-78-0","217-388-4",,
"glyceryl dimethylsiloxanes","87518","-","-",,
"glyceryl dimyristate","34062","53563-63-6","258-629-3",,
"glyceryl dimyristate/hydrogenated rosinate","56212",,,,
"glyceryl dipalmitoleate","34065",,,,
"glyceryl diretinoate","88281","-","-",,
"glyceryl diricinoleate","34066","27902-24-5","248-720-6",,
"glyceryl diricinoleate/ipdi copolymer","56213","351424-97-0",,,
"glyceryl eicosapentaenoate","97558",,,,
"glyceryl erucate","34068","28063-42-5","248-812-6",,
"glyceryl ethylhexanoate","83847","-","-",,
"glyceryl ethylhexanoate dimethoxycinnamate","34069",,,,
"glyceryl glycyrrhetinate","76220","108916-85-4",,,
"glyceryl heptanoate","56214","26402-24-4",,,
"glyceryl hydrogenated rapeseedate","86796","-","-",,
"glyceryl hydrogenated soyate","34073","61789-08-0","263-030-5",,
"glycerylhydroxypropyl laurdimonium chloride","85216","-","-",,
"glycerylhydroxypropyl steardimonium chloride","85215","-","-",,
